,table_catalog,table_schema,table_name,partition_id,last_modified_time,total_rows
1786,edm-cloud-dwh-prod-9652,prd_xldf_stg_tb,f_d_usg_roaming_ts_upd,20200825,2021-11-19 10:25:49.003000 UTC,6697
1787,edm-cloud-dwh-dev-0051,dev_xldf_acl_tb,f_m_finodc_rev_glcost_amor_accr,202303,2023-04-10 08:52:21.890000 UTC,285
1788,edm-cloud-dwh-prod-9652,prd_xldf_itl_tb,ifrs_unlimited,20230415,2023-04-17 18:10:17.575000 UTC,124
1789,edm-cloud-dwh-prod-9652,prd_xldf_stg_tb,ar1_mov_pop1b_ts_upd,,2021-11-19 10:26:46.303000 UTC,1446782
1790,cvm-cloud-dwh-prod-4383,prd_cvm_analytic_tb,cvm_product_weekly_tenure,,2023-01-26 15:48:44.976000 UTC,510042
1791,edm-cloud-dwh-prod-9652,prd_xldf_stg_tb,smsc_hua_mosms,20201230,2023-04-09 15:16:33.306000 UTC,1518
1792,datamart-cloud-dwh-prod-ca76,prd_bca,colossus_l1_playgo_d,20190814,2022-04-01 05:26:53.367000 UTC,151
1793,edm-cloud-dwh-prod-9652,prd_xldf_stg_tb,f_d_sf_opportunity,20230417,2023-04-17 23:42:06.669000 UTC,52314
1794,edm-cloud-dwh-dev-0051,dev_exc_campaign,mf_xnd88_exclude_final,,2023-04-13 08:04:39.412000 UTC,0
1795,cvm-cloud-dwh-prod-4383,prd_cvm_analytic_tb,tono_nbo_rpt_off_track_disc,20201230,2022-05-24 07:05:48.930000 UTC,132
1796,cvm-cloud-dwh-prod-4383,prd_cvm_analytic_tb,lth_sureprize_public_id_v2,,2022-01-03 09:40:18.225000 UTC,50
1797,cvm-cloud-dwh-prod-4383,prd_cvm_analytic_tb,mccm_sachet_cust_ax,20200705,2022-12-04 09:19:13.344000 UTC,193601412
